Question,Answer
"For the last 8 years of his life, Galileo was under house arrest for espousing this man's theory",Copernicus
"No. 2: 1912 Olympian; football star at Carlisle Indian School; 6 MLB seasons with the Reds, Giants & Braves",Jim Thorpe
"The city of Yuma in this state has a record average of 4,055 hours of sunshine each year",Arizona
"In 1963, live on ""The Art Linkletter Show"", this company served its billionth burger",McDonald's
"Signer of the Dec. of Indep., framer of the Constitution of Mass., second President of the United States",John Adams
"In the title of an Aesop fable, this insect shared billing with a grasshopper",the ant
"Built in 312 B.C. to link Rome & the South of Italy, it's still in use today",the Appian Way
"No. 8: 30 steals for the Birmingham Barons; 2,306 steals for the Bulls",Michael Jordan
"In the winter of 1971-72, a record 1,122 inches of snow fell at Rainier Paradise Ranger Station in this state",Washington
This housewares store was named for the packaging its merchandise came in & was first displayed on,Crate & Barrel
Cows regurgitate this from the first stomach to the mouth & chew it again,the cud
In 1000 Rajaraja I of the Cholas battled to take this Indian Ocean island now known for its tea,Ceylon (or Sri Lanka)
"No. 1: Lettered in hoops, football & lacrosse at Syracuse & if you think he couldn't act, ask his 11 ""unclean"" buddies",Jim Brown
"On June 28, 1994 the nat'l weather service began issuing this index that rates the intensity of the sun's radiation",the UV index
"This company's Accutron watch, introduced in 1960, had a guarantee of accuracy to within one minute a  month",Bulova
"Outlaw: ""Murdered by a traitor and a coward whose name is not worthy to appear here""",Jesse James
